Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,22142,405.0,3013,18724.0,683,21,362,1.83,13.61,13.44,17267,4875,28.23,Eastern Mediterranean
Albania,1341,34.0,980,327.0,42,0,20,2.54,73.08,3.47,1184,157,13.26,Europe
Algeria,10484,732.0,7074,2678.0,102,8,123,6.98,67.47,10.35,9733,751,7.72,Africa
Andorra,852,51.0,759,42.0,0,0,2,5.99,89.08,6.72,851,1,0.12,Europe
Angola,113,4.0,40,69.0,17,0,2,3.54,35.4,10.0,86,27,31.4,Africa
Antigua and Barbuda,26,3.0,20,3.0,0,0,0,11.54,76.92,15.0,26,0,0.0,Americas
Argentina,25987,735.0,7991,17261.0,1226,18,423,2.83,30.75,9.2,19268,6719,34.87,Americas
Armenia,14103,227.0,5226,8650.0,428,10,775,1.61,37.06,4.34,10524,3579,34.01,Europe
Australia,7285,102.0,6759,424.0,11,0,19,1.4,92.78,1.51,7240,45,0.62,Western Pacific
Austria,17005,673.0,15910,422.0,26,1,35,3.96,93.56,4.23,16771,234,1.4,Europe
Azerbaijan,8530,102.0,4720,3708.0,339,4,114,1.2,55.33,2.16,6260,2270,36.26,Europe
Bahamas,103,11.0,67,25.0,0,0,3,10.68,65.05,16.42,102,1,0.98,Americas
Bahrain,16200,31.0,11109,5060.0,469,2,503,0.19,68.57,0.28,12815,3385,26.41,Eastern Mediterranean
Bangladesh,74865,1012.0,15900,57953.0,3190,37,563,1.35,21.24,6.36,55140,19725,35.77,South-East Asia
Barbados,96,7.0,83,6.0,4,0,2,7.29,86.46,8.43,92,4,4.35,Americas
Belarus,51066,288.0,25667,25111.0,801,6,1161,0.56,50.26,1.12,45116,5950,13.19,Europe
Belgium,59569,9629.0,16392,33548.0,132,10,68,16.16,27.52,58.74,58685,884,1.51,Europe
Belize,20,2.0,16,2.0,0,0,0,10.0,80.0,12.5,18,2,11.11,Americas
Benin,305,4.0,188,113.0,0,0,0,1.31,61.64,2.13,244,61,25.0,Africa
Bhutan,59,0.0,18,41.0,0,0,1,0.0,30.51,0.0,47,12,25.53,South-East Asia
Bolivia,15281,512.0,2261,12508.0,637,25,71,3.35,14.8,22.64,11638,3643,31.3,Americas
Bosnia and Herzegovina,2775,161.0,2063,551.0,47,1,14,5.8,74.34,7.8,2551,224,8.78,Europe
Botswana,48,1.0,24,23.0,6,0,0,2.08,50.0,4.17,40,8,20.0,Africa
Brazil,772416,39680.0,413916,318820.0,32913,1274,17179,5.14,53.59,9.59,584016,188400,32.26,Americas
Brunei,141,2.0,138,1.0,0,0,0,1.42,97.87,1.45,141,0,0.0,Western Pacific
Bulgaria,2993,167.0,1664,1162.0,104,0,41,5.58,55.6,10.04,2560,433,16.91,Europe
Burkina Faso,891,53.0,765,73.0,0,0,0,5.95,85.86,6.93,884,7,0.79,Africa
Burma,248,6.0,165,77.0,2,0,6,2.42,66.53,3.64,233,15,6.44,South-East Asia
Burundi,83,1.0,45,37.0,0,0,0,1.2,54.22,2.22,63,20,31.75,Africa
Cabo Verde,615,5.0,294,316.0,30,0,24,0.81,47.8,1.7,477,138,28.93,Africa
Cambodia,126,0.0,125,1.0,0,0,0,0.0,99.21,0.0,125,1,0.8,Western Pacific
Cameroon,8681,0.0,0,8681.0,369,0,0,0.0,0.0,0.0,6585,2096,31.83,Africa
Canada,98707,7975.0,0,90732.0,479,68,0,8.08,0.0,inf,94628,4079,4.31,Americas
