Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,555,17.0,28,510.0,0,0,0,3.06,5.05,60.71,6
2020-01-23,654,18.0,30,606.0,99,1,2,2.75,4.59,60.0,8
2020-01-24,941,25.0,35,881.0,287,7,5,2.66,3.72,71.43,9
2020-01-25,1434,41.0,38,1355.0,493,16,3,2.86,2.65,107.89,11
2020-01-26,2118,53.0,51,2014.0,684,12,13,2.5,2.41,103.92,13
2020-01-27,2927,79.0,58,2790.0,809,26,7,2.7,1.98,136.21,16
2020-01-28,5578,128.0,103,5347.0,2651,49,45,2.29,1.85,124.27,16
2020-01-29,6166,129.0,120,5917.0,588,1,17,2.09,1.95,107.5,18
2020-01-30,8234,166.0,136,7932.0,2068,37,16,2.02,1.65,122.06,20
2020-01-31,9927,208.0,209,9510.0,1693,42,73,2.1,2.11,99.52,24
2020-02-01,12038,254.0,267,11517.0,2111,46,58,2.11,2.22,95.13,25
2020-02-02,16787,357.0,447,15983.0,4749,103,180,2.13,2.66,79.87,25
2020-02-03,19881,421.0,590,18870.0,3094,64,143,2.12,2.97,71.36,25
2020-02-04,23892,487.0,804,22601.0,4011,66,214,2.04,3.37,60.57,26
2020-02-05,27635,559.0,1050,26026.0,3743,72,246,2.02,3.8,53.24,26
2020-02-06,30794,628.0,1391,28775.0,3159,69,341,2.04,4.52,45.15,26
2020-02-07,34330,712.0,1871,31747.0,3536,84,480,2.07,5.45,38.05,26
2020-02-08,37059,796.0,2429,33834.0,2729,84,558,2.15,6.55,32.77,26
2020-02-09,40086,893.0,3015,36178.0,3027,97,586,2.23,7.52,29.62,26
2020-02-10,42627,999.0,3658,37970.0,2541,106,643,2.34,8.58,27.31,26
2020-02-11,44667,1097.0,4365,39205.0,2040,98,707,2.46,9.77,25.13,26
2020-02-12,46554,1101.0,4789,40664.0,1887,4,424,2.36,10.29,22.99,26
2020-02-13,60193,1351.0,5876,52966.0,13639,250,1087,2.24,9.76,22.99,26
2020-02-14,66667,1500.0,7527,57640.0,6474,149,1651,2.25,11.29,19.93,27
2020-02-15,68745,1641.0,8769,58335.0,2078,141,1242,2.39,12.76,18.71,27
2020-02-16,70869,1745.0,10163,58961.0,2124,104,1394,2.46,14.34,17.17,27
2020-02-17,72804,1840.0,11780,59184.0,1935,95,1617,2.53,16.18,15.62,27
2020-02-18,74594,1976.0,13484,59134.0,1790,136,1704,2.65,18.08,14.65,27
2020-02-19,75018,2088.0,15180,57750.0,424,112,1696,2.78,20.24,13.75,28
2020-02-20,75563,2210.0,17124,56229.0,545,122,1944,2.92,22.66,12.91,28
2020-02-21,76185,2214.0,17668,56303.0,622,4,544,2.91,23.19,12.53,30
2020-02-22,77938,2420.0,21514,54004.0,1753,206,3846,3.11,27.6,11.25,30
2020-02-23,78267,2430.0,21937,53900.0,329,10,423,3.1,28.03,11.08,30
2020-02-24,78870,2590.0,23669,52611.0,603,160,1732,3.28,30.01,10.94,35
2020-02-25,79717,2669.0,26260,50788.0,847,79,2591,3.35,32.94,10.16,40
2020-02-26,80683,2730.0,28673,49280.0,966,61,2413,3.38,35.54,9.52,46
2020-02-27,82041,2772.0,31497,47772.0,1358,42,2824,3.38,38.39,8.8,50
2020-02-28,83409,2828.0,34865,45716.0,1368,56,3368,3.39,41.8,8.11,56
2020-02-29,85306,2896.0,37851,44559.0,1897,68,2986,3.39,44.37,7.65,60
2020-03-01,87664,2950.0,40707,44007.0,2358,54,2856,3.37,46.44,7.25,65
2020-03-02,89602,3039.0,43565,42998.0,1938,89,2858,3.39,48.62,6.98,72
2020-03-03,92134,3114.0,46152,42868.0,2532,75,2587,3.38,50.09,6.75,76
2020-03-04,94414,3208.0,49080,42126.0,2280,94,2928,3.4,51.98,6.54,80
2020-03-05,97183,3301.0,51690,42192.0,2769,93,2610,3.4,53.19,6.39,84
2020-03-06,101100,3413.0,53703,43984.0,3917,112,2013,3.38,53.12,6.36,93
2020-03-07,105142,3512.0,56181,45449.0,4042,99,2478,3.34,53.43,6.25,94
2020-03-08,109116,3755.0,58503,46858.0,3974,243,2322,3.44,53.62,6.42,99
2020-03-09,112899,3941.0,60283,48675.0,3783,186,1780,3.49,53.4,6.54,102
2020-03-10,117920,4217.0,62186,51517.0,5021,276,1903,3.58,52.74,6.78,105
2020-03-11,125174,4567.0,64494,56113.0,7254,350,2308,3.65,51.52,7.08,111
2020-03-12,130309,4865.0,65809,59635.0,5135,298,1315,3.73,50.5,7.39,113
2020-03-13,144520,5362.0,67728,71430.0,14211,497,1919,3.71,46.86,7.92,120
2020-03-14,155434,5785.0,70095,79554.0,10914,423,2367,3.72,45.1,8.25,133
2020-03-15,166882,6426.0,73499,86957.0,11448,641,3404,3.85,44.04,8.74,137
2020-03-16,181045,7104.0,75546,98395.0,14163,678,2047,3.92,41.73,9.4,143
2020-03-17,196499,7910.0,78297,110292.0,15454,806,2751,4.03,39.85,10.1,146
2020-03-18,214307,8779.0,80776,124752.0,17808,869,2479,4.1,37.69,10.87,150
2020-03-19,241958,9901.0,82412,149645.0,27651,1122,1636,4.09,34.06,12.01,154
2020-03-20,271771,11376.0,84853,175542.0,29813,1475,2441,4.19,31.22,13.41,161
2020-03-21,303904,13079.0,89113,201712.0,32133,1703,4260,4.3,29.32,14.68,163
2020-03-22,336396,14776.0,95324,226296.0,32492,1697,6211,4.39,28.34,15.5,168
2020-03-23,377673,16709.0,95789,265175.0,41277,1933,465,4.42,25.36,17.44,169
2020-03-24,417661,18963.0,105320,293378.0,40003,2254,9531,4.54,25.22,18.01,171
2020-03-25,467230,21730.0,110766,334734.0,49569,2767,5446,4.65,23.71,19.62,174
2020-03-26,529169,24727.0,119118,385324.0,61939,2997,8352,4.67,22.51,20.76,175
2020-03-27,593161,28229.0,127811,437121.0,63992,3502,8693,4.76,21.55,22.09,176
2020-03-28,660549,31747.0,136094,492708.0,67388,3518,8283,4.81,20.6,23.33,176
2020-03-29,719684,35255.0,145552,538877.0,59135,3508,9458,4.9,20.22,24.22,176
2020-03-30,782310,39366.0,160971,581973.0,62626,4111,15419,5.03,20.58,24.46,177
2020-03-31,857061,44149.0,173308,639604.0,74751,4783,12337,5.15,20.22,25.47,179
2020-04-01,932579,49590.0,188645,694344.0,75518,5441,15337,5.32,20.23,26.29,179
2020-04-02,1013392,55732.0,205251,752409.0,80813,6142,16606,5.5,20.25,27.15,180
2020-04-03,1095720,61709.0,220241,813770.0,82328,5977,14990,5.63,20.1,28.02,180
2020-04-04,1176039,67877.0,240235,867927.0,80319,6168,19994,5.77,20.43,28.25,180
2020-04-05,1249616,72950.0,253594,923072.0,73577,5073,13359,5.84,20.29,28.77,182
2020-04-06,1320969,78627.0,269951,972391.0,71353,5677,16357,5.95,20.44,29.13,183
2020-04-07,1395930,86511.0,292708,1016711.0,74961,7884,22757,6.2,20.97,29.56,183
2020-04-08,1479722,93190.0,320969,1065563.0,83792,6679,28261,6.3,21.69,29.03,183
2020-04-09,1565572,100735.0,345225,1119612.0,85850,7545,24256,6.43,22.05,29.18,183
2020-04-10,1657841,107966.0,366253,1183622.0,92269,7231,21028,6.51,22.09,29.48,184
2020-04-11,1735895,113974.0,391696,1230225.0,78054,6008,25443,6.57,22.56,29.1,184
2020-04-12,1834674,119645.0,410503,1304526.0,98800,5671,18807,6.52,22.37,29.15,184
2020-04-13,1904769,125348.0,436979,1342442.0,70095,5703,26476,6.58,22.94,28.69,184
2020-04-14,1975375,132217.0,461420,1381738.0,70606,6869,24441,6.69,23.36,28.65,184
2020-04-15,2055547,140457.0,497101,1417989.0,80172,8240,35681,6.83,24.18,28.26,184
2020-04-16,2151550,147717.0,527034,1476799.0,96003,7260,29933,6.87,24.5,28.03,184
2020-04-17,2239866,156570.0,552075,1531221.0,88316,8853,25041,6.99,24.65,28.36,184
2020-04-18,2317609,162991.0,575510,1579108.0,77744,6421,23435,7.03,24.83,28.32,184
2020-04-19,2400118,167483.0,606068,1626567.0,82509,4492,30558,6.98,25.25,27.63,184
2020-04-20,2472517,172844.0,627104,1672569.0,72399,5361,21036,6.99,25.36,27.56,184
2020-04-21,2548818,179933.0,661064,1707821.0,76301,7089,33960,7.06,25.94,27.22,184
